Date,School,Keyword,Type,Full Article,Article Summary,Paragraph Summary
2009-02-19,McGill,China,Positive,0.022222222222222216,0.025,0.025
2009-02-19,McGill,China,Negative,0,0,0
2009-02-19,McGill,China,Neutral,0.9777777777777777,0.975,0.975
