,school,date,count,school_year
130,UF,2009-03-16,0,2008-2009
131,UF,2009-03-17,0,2008-2009
132,UF,2009-03-18,0,2008-2009
133,UF,2009-03-19,0,2008-2009
134,UF,2009-03-20,0,2008-2009
135,UF,2009-03-23,0,2008-2009
136,UF,2009-03-24,0,2008-2009
137,UF,2009-03-25,1,2008-2009
138,UF,2009-03-26,0,2008-2009
139,UF,2009-03-27,0,2008-2009
140,UF,2009-03-30,0,2008-2009
141,UF,2009-03-31,0,2008-2009
142,UF,2009-04-01,0,2008-2009
143,UF,2009-04-02,0,2008-2009
144,UF,2009-04-03,0,2008-2009
145,UF,2009-04-06,0,2008-2009
146,UF,2009-04-07,0,2008-2009
147,UF,2009-04-08,0,2008-2009
148,UF,2009-04-09,0,2008-2009
149,UF,2009-04-10,0,2008-2009
150,UF,2009-04-13,0,2008-2009
151,UF,2009-04-14,0,2008-2009
152,UF,2009-04-15,0,2008-2009
153,UF,2009-04-16,1,2008-2009
154,UF,2009-04-17,0,2008-2009
155,UF,2009-04-20,0,2008-2009
156,UF,2009-04-21,1,2008-2009
157,UF,2009-04-22,0,2008-2009
158,UF,2009-05-12,0,2008-2009
159,UF,2009-05-14,0,2008-2009
160,UF,2009-05-19,0,2008-2009
161,UF,2009-05-21,0,2008-2009
162,UF,2009-05-26,0,2008-2009
163,UF,2009-05-28,0,2008-2009
164,UF,2009-06-02,1,2008-2009
165,UF,2009-06-04,0,2008-2009
166,UF,2009-06-09,0,2008-2009
167,UF,2009-06-11,0,2008-2009
168,UF,2009-06-16,0,2008-2009
169,UF,2009-06-18,1,2008-2009
170,UF,2009-06-30,0,2008-2009
171,UF,2009-07-02,0,2008-2009
172,UF,2009-07-07,0,2008-2009
173,UF,2009-07-09,0,2008-2009
174,UF,2009-07-14,0,2008-2009
175,UF,2009-07-16,1,2008-2009
176,UF,2009-07-21,0,2008-2009
177,UF,2009-07-23,1,2008-2009
178,UF,2009-07-28,0,2008-2009
179,UF,2009-07-30,1,2008-2009
180,UF,2009-08-04,0,2009-2010
181,UF,2009-08-06,1,2009-2010
182,UF,2009-08-17,1,2009-2010
183,UF,2009-08-24,0,2009-2010
184,UF,2009-08-25,1,2009-2010
185,UF,2009-08-26,1,2009-2010
186,UF,2009-08-27,1,2009-2010
187,UF,2009-08-28,1,2009-2010
188,UF,2009-08-31,1,2009-2010
189,UF,2009-09-01,1,2009-2010
190,UF,2009-09-02,0,2009-2010
191,UF,2009-09-03,1,2009-2010
192,UF,2009-09-04,1,2009-2010
193,UF,2009-09-08,1,2009-2010
194,UF,2009-09-09,0,2009-2010
195,UF,2009-09-10,0,2009-2010
196,UF,2009-09-11,1,2009-2010
197,UF,2009-09-14,0,2009-2010
198,UF,2009-09-15,0,2009-2010
199,UF,2009-09-16,1,2009-2010
200,UF,2009-09-17,1,2009-2010
201,UF,2009-09-18,1,2009-2010
202,UF,2009-09-21,0,2009-2010
203,UF,2009-09-22,0,2009-2010
204,UF,2009-09-23,0,2009-2010
205,UF,2009-09-24,0,2009-2010
206,UF,2009-09-25,0,2009-2010
207,UF,2009-09-28,0,2009-2010
208,UF,2009-09-29,0,2009-2010
209,UF,2009-09-30,0,2009-2010
210,UF,2009-10-01,0,2009-2010
211,UF,2009-10-02,0,2009-2010
212,UF,2009-10-05,0,2009-2010
213,UF,2009-10-06,1,2009-2010
214,UF,2009-10-07,1,2009-2010
215,UF,2009-10-08,0,2009-2010
216,UF,2009-10-09,1,2009-2010
217,UF,2009-10-12,0,2009-2010
218,UF,2009-10-13,0,2009-2010
219,UF,2009-10-14,0,2009-2010
220,UF,2009-10-15,1,2009-2010
221,UF,2009-10-16,1,2009-2010
222,UF,2009-10-19,1,2009-2010
223,UF,2009-10-20,0,2009-2010
224,UF,2009-10-21,0,2009-2010
225,UF,2009-10-22,1,2009-2010
226,UF,2009-10-23,1,2009-2010
227,UF,2009-10-26,0,2009-2010
228,UF,2009-10-27,0,2009-2010
229,UF,2009-10-28,0,2009-2010
230,UF,2009-10-29,1,2009-2010
231,UF,2009-10-30,0,2009-2010
232,UF,2009-11-02,0,2009-2010
233,UF,2009-11-03,0,2009-2010
234,UF,2009-11-04,0,2009-2010
235,UF,2009-11-05,1,2009-2010
236,UF,2009-11-06,1,2009-2010
237,UF,2009-11-09,0,2009-2010
238,UF,2009-11-10,0,2009-2010
239,UF,2009-11-12,1,2009-2010
240,UF,2009-11-13,0,2009-2010
241,UF,2009-11-16,0,2009-2010
242,UF,2009-11-17,0,2009-2010
243,UF,2009-11-18,0,2009-2010
244,UF,2009-11-19,1,2009-2010
245,UF,2009-11-20,1,2009-2010
246,UF,2009-11-23,0,2009-2010
247,UF,2009-11-24,0,2009-2010
248,UF,2009-11-25,0,2009-2010
249,UF,2009-11-30,0,2009-2010
250,UF,2009-12-01,0,2009-2010
251,UF,2009-12-02,1,2009-2010
252,UF,2009-12-03,1,2009-2010
253,UF,2009-12-04,0,2009-2010
254,UF,2009-12-07,0,2009-2010
255,UF,2009-12-08,0,2009-2010
256,UF,2009-12-09,1,2009-2010
257,UF,2010-01-05,0,2009-2010
258,UF,2010-01-06,1,2009-2010
259,UF,2010-01-07,1,2009-2010
260,UF,2010-01-08,0,2009-2010
261,UF,2010-01-11,0,2009-2010
262,UF,2010-01-12,0,2009-2010
263,UF,2010-01-13,1,2009-2010
264,UF,2010-01-14,0,2009-2010
265,UF,2010-01-15,0,2009-2010
266,UF,2010-01-19,0,2009-2010
267,UF,2010-01-20,0,2009-2010
268,UF,2010-01-21,0,2009-2010
269,UF,2010-01-22,1,2009-2010
270,UF,2010-01-25,0,2009-2010
271,UF,2010-01-26,1,2009-2010
272,UF,2010-01-27,0,2009-2010
273,UF,2010-01-28,0,2009-2010
274,UF,2010-01-29,1,2009-2010
275,UF,2010-02-01,0,2009-2010
276,UF,2010-02-02,1,2009-2010
277,UF,2010-02-03,0,2009-2010
278,UF,2010-02-04,0,2009-2010
279,UF,2010-02-05,1,2009-2010
280,UF,2010-02-08,0,2009-2010
281,UF,2010-02-09,0,2009-2010
282,UF,2010-02-10,0,2009-2010
283,UF,2010-02-11,0,2009-2010
284,UF,2010-02-12,1,2009-2010
285,UF,2010-02-15,0,2009-2010
286,UF,2010-02-16,0,2009-2010
287,UF,2010-02-17,1,2009-2010
288,UF,2010-02-18,1,2009-2010
289,UF,2010-02-19,1,2009-2010
290,UF,2010-02-22,1,2009-2010
291,UF,2010-02-23,0,2009-2010
292,UF,2010-02-24,1,2009-2010
293,UF,2010-02-25,0,2009-2010
294,UF,2010-02-26,0,2009-2010
295,UF,2010-03-01,0,2009-2010
296,UF,2010-03-02,0,2009-2010
297,UF,2010-03-03,0,2009-2010
298,UF,2010-03-04,0,2009-2010
299,UF,2010-03-05,0,2009-2010
300,UF,2010-03-15,0,2009-2010
301,UF,2010-03-16,0,2009-2010
302,UF,2010-03-17,0,2009-2010
303,UF,2010-03-18,0,2009-2010
304,UF,2010-03-19,0,2009-2010
305,UF,2010-03-22,0,2009-2010
306,UF,2010-03-23,0,2009-2010
307,UF,2010-03-24,0,2009-2010
308,UF,2010-03-25,1,2009-2010
309,UF,2010-03-26,0,2009-2010
310,UF,2010-03-29,0,2009-2010
311,UF,2010-03-30,1,2009-2010
312,UF,2010-03-31,0,2009-2010
313,UF,2010-04-01,0,2009-2010
314,UF,2010-04-02,0,2009-2010
315,UF,2010-04-05,0,2009-2010
316,UF,2010-04-06,0,2009-2010
317,UF,2010-04-07,0,2009-2010
318,UF,2010-04-08,0,2009-2010
319,UF,2010-04-09,0,2009-2010
320,UF,2010-04-12,0,2009-2010
321,UF,2010-04-13,0,2009-2010
322,UF,2010-04-14,1,2009-2010
323,UF,2010-04-15,0,2009-2010
324,UF,2010-04-16,1,2009-2010
325,UF,2010-04-19,1,2009-2010
326,UF,2010-04-20,0,2009-2010
327,UF,2010-04-21,1,2009-2010
328,UF,2010-05-11,0,2009-2010
329,UF,2010-05-13,0,2009-2010
330,UF,2010-05-18,0,2009-2010
331,UF,2010-05-20,0,2009-2010
332,UF,2010-05-25,0,2009-2010
333,UF,2010-05-27,0,2009-2010
334,UF,2010-06-01,0,2009-2010
335,UF,2010-06-03,0,2009-2010
336,UF,2010-06-08,0,2009-2010
337,UF,2010-06-10,0,2009-2010
338,UF,2010-06-15,0,2009-2010
339,UF,2010-06-17,0,2009-2010
340,UF,2010-06-29,1,2009-2010
341,UF,2010-07-01,1,2009-2010
342,UF,2010-07-06,0,2009-2010
343,UF,2010-07-08,1,2009-2010
344,UF,2010-07-13,1,2009-2010
345,UF,2010-07-15,0,2009-2010
346,UF,2010-07-20,0,2009-2010
347,UF,2010-07-22,1,2009-2010
348,UF,2010-07-27,0,2009-2010
349,UF,2010-07-29,0,2009-2010
350,UF,2010-08-03,1,2010-2011
351,UF,2010-08-05,0,2010-2011
352,UF,2010-08-16,1,2010-2011
353,UF,2010-08-23,1,2010-2011
354,UF,2010-08-24,0,2010-2011
355,UF,2010-08-25,0,2010-2011
356,UF,2010-08-26,0,2010-2011
357,UF,2010-08-27,0,2010-2011
358,UF,2010-08-30,0,2010-2011
359,UF,2010-08-31,0,2010-2011
360,UF,2010-09-01,0,2010-2011
361,UF,2010-09-02,1,2010-2011
362,UF,2010-09-03,0,2010-2011
363,UF,2010-09-07,0,2010-2011
364,UF,2010-09-08,1,2010-2011
365,UF,2010-09-09,0,2010-2011
366,UF,2010-09-10,0,2010-2011
367,UF,2010-09-13,0,2010-2011
368,UF,2010-09-14,0,2010-2011
