school,date,count,school_year,month
McGill,2010-11-28,1,2010-2011,2010-11
McGill,2011-01-04,0,2010-2011,2011-01
McGill,2011-01-05,1,2010-2011,2011-01
McGill,2011-01-10,0,2010-2011,2011-01
McGill,2011-01-13,1,2010-2011,2011-01
McGill,2011-01-20,1,2010-2011,2011-01
McGill,2011-01-22,0,2010-2011,2011-01
McGill,2011-01-27,1,2010-2011,2011-01
McGill,2011-01-29,1,2010-2011,2011-01
McGill,2011-02-03,1,2010-2011,2011-02
McGill,2011-02-05,1,2010-2011,2011-02
McGill,2011-02-10,1,2010-2011,2011-02
McGill,2011-02-12,1,2010-2011,2011-02
McGill,2011-02-16,0,2010-2011,2011-02
McGill,2011-02-17,1,2010-2011,2011-02
McGill,2011-02-18,0,2010-2011,2011-02
McGill,2011-03-03,1,2010-2011,2011-03
McGill,2011-03-05,1,2010-2011,2011-03
McGill,2011-03-10,1,2010-2011,2011-03
McGill,2011-03-12,1,2010-2011,2011-03
McGill,2011-03-17,0,2010-2011,2011-03
McGill,2011-03-19,1,2010-2011,2011-03
McGill,2011-03-21,1,2010-2011,2011-03
McGill,2011-03-26,1,2010-2011,2011-03
McGill,2011-04-02,1,2010-2011,2011-04
McGill,2011-04-08,0,2010-2011,2011-04
McGill,2011-04-29,0,2010-2011,2011-04
McGill,2011-05-03,0,2010-2011,2011-05
McGill,2011-09-01,1,2011-2012,2011-09
McGill,2011-09-08,1,2011-2012,2011-09
McGill,2011-09-09,1,2011-2012,2011-09
McGill,2011-09-12,1,2011-2012,2011-09
McGill,2011-09-15,1,2011-2012,2011-09
McGill,2011-09-17,0,2011-2012,2011-09
McGill,2011-09-19,1,2011-2012,2011-09
McGill,2011-09-22,1,2011-2012,2011-09
McGill,2011-09-26,1,2011-2012,2011-09
McGill,2011-09-29,1,2011-2012,2011-09
McGill,2011-10-01,0,2011-2012,2011-10
McGill,2011-10-03,1,2011-2012,2011-10
McGill,2011-10-06,1,2011-2012,2011-10
McGill,2011-10-13,1,2011-2012,2011-10
McGill,2011-10-14,0,2011-2012,2011-10
McGill,2011-10-16,0,2011-2012,2011-10
McGill,2011-10-17,1,2011-2012,2011-10
McGill,2011-10-19,0,2011-2012,2011-10
McGill,2011-10-20,1,2011-2012,2011-10
McGill,2011-10-21,0,2011-2012,2011-10
McGill,2011-10-22,1,2011-2012,2011-10
McGill,2011-10-24,1,2011-2012,2011-10
McGill,2011-10-27,1,2011-2012,2011-10
McGill,2011-10-29,1,2011-2012,2011-10
McGill,2011-10-31,1,2011-2012,2011-10
McGill,2011-11-03,1,2011-2012,2011-11
McGill,2011-11-04,0,2011-2012,2011-11
McGill,2011-11-07,1,2011-2012,2011-11
McGill,2011-11-09,0,2011-2012,2011-11
McGill,2011-11-10,1,2011-2012,2011-11
McGill,2011-11-12,1,2011-2012,2011-11
McGill,2011-11-13,1,2011-2012,2011-11
McGill,2011-11-14,1,2011-2012,2011-11
McGill,2011-11-17,1,2011-2012,2011-11
McGill,2011-11-19,1,2011-2012,2011-11
McGill,2011-11-21,1,2011-2012,2011-11
McGill,2011-11-26,1,2011-2012,2011-11
McGill,2011-11-27,1,2011-2012,2011-11
McGill,2011-11-30,0,2011-2012,2011-11
McGill,2011-12-01,1,2011-2012,2011-12
McGill,2011-12-02,0,2011-2012,2011-12
McGill,2011-12-05,0,2011-2012,2011-12
McGill,2011-12-06,0,2011-2012,2011-12
McGill,2011-12-12,1,2011-2012,2011-12
McGill,2011-12-13,1,2011-2012,2011-12
McGill,2011-12-15,1,2011-2012,2011-12
McGill,2012-01-12,1,2011-2012,2012-01
McGill,2012-01-16,1,2011-2012,2012-01
McGill,2012-01-19,1,2011-2012,2012-01
McGill,2012-01-21,1,2011-2012,2012-01
McGill,2012-01-26,1,2011-2012,2012-01
McGill,2012-01-28,1,2011-2012,2012-01
McGill,2012-02-02,1,2011-2012,2012-02
McGill,2012-02-04,1,2011-2012,2012-02
McGill,2012-02-07,1,2011-2012,2012-02
McGill,2012-02-08,1,2011-2012,2012-02
McGill,2012-02-09,1,2011-2012,2012-02
McGill,2012-02-10,1,2011-2012,2012-02
McGill,2012-02-11,1,2011-2012,2012-02
McGill,2012-02-12,1,2011-2012,2012-02
McGill,2012-02-13,1,2011-2012,2012-02
McGill,2012-02-14,0,2011-2012,2012-02
McGill,2012-02-15,0,2011-2012,2012-02
McGill,2012-02-16,1,2011-2012,2012-02
McGill,2012-02-17,1,2011-2012,2012-02
McGill,2012-02-18,0,2011-2012,2012-02
McGill,2012-02-22,0,2011-2012,2012-02
McGill,2012-02-24,1,2011-2012,2012-02
McGill,2012-02-26,0,2011-2012,2012-02
McGill,2012-03-01,0,2011-2012,2012-03
McGill,2012-03-03,1,2011-2012,2012-03
McGill,2012-03-05,1,2011-2012,2012-03
McGill,2012-03-07,0,2011-2012,2012-03
McGill,2012-03-08,1,2011-2012,2012-03
McGill,2012-03-09,0,2011-2012,2012-03
McGill,2012-03-10,0,2011-2012,2012-03
McGill,2012-03-11,0,2011-2012,2012-03
McGill,2012-03-13,1,2011-2012,2012-03
McGill,2012-03-14,0,2011-2012,2012-03
McGill,2012-03-15,1,2011-2012,2012-03
McGill,2012-03-16,1,2011-2012,2012-03
McGill,2012-03-18,0,2011-2012,2012-03
McGill,2012-03-20,1,2011-2012,2012-03
McGill,2012-03-21,0,2011-2012,2012-03
McGill,2012-03-22,1,2011-2012,2012-03
McGill,2012-03-23,0,2011-2012,2012-03
McGill,2012-03-24,1,2011-2012,2012-03
McGill,2012-03-25,0,2011-2012,2012-03
McGill,2012-03-26,1,2011-2012,2012-03
McGill,2012-03-28,0,2011-2012,2012-03
McGill,2012-03-30,1,2011-2012,2012-03
McGill,2012-03-31,0,2011-2012,2012-03
McGill,2012-04-01,0,2011-2012,2012-04
McGill,2012-04-02,1,2011-2012,2012-04
McGill,2012-04-03,0,2011-2012,2012-04
McGill,2012-04-04,1,2011-2012,2012-04
McGill,2012-04-05,1,2011-2012,2012-04
McGill,2012-04-11,1,2011-2012,2012-04
McGill,2012-04-12,0,2011-2012,2012-04
McGill,2012-04-15,1,2011-2012,2012-04
McGill,2012-04-16,0,2011-2012,2012-04
McGill,2012-04-17,0,2011-2012,2012-04
McGill,2012-04-18,0,2011-2012,2012-04
McGill,2012-04-19,1,2011-2012,2012-04
McGill,2012-04-20,1,2011-2012,2012-04
McGill,2012-04-21,1,2011-2012,2012-04
McGill,2012-04-26,1,2011-2012,2012-04
McGill,2012-04-28,1,2011-2012,2012-04
McGill,2012-05-02,1,2011-2012,2012-05
McGill,2012-05-04,1,2011-2012,2012-05
McGill,2012-05-05,0,2011-2012,2012-05
McGill,2012-05-07,1,2011-2012,2012-05
McGill,2012-05-08,0,2011-2012,2012-05
McGill,2012-05-15,0,2011-2012,2012-05
McGill,2012-05-17,1,2011-2012,2012-05
McGill,2012-05-20,1,2011-2012,2012-05
McGill,2012-05-23,1,2011-2012,2012-05
McGill,2012-05-24,1,2011-2012,2012-05
McGill,2012-06-01,0,2011-2012,2012-06
McGill,2012-06-23,1,2011-2012,2012-06
McGill,2012-07-28,1,2011-2012,2012-07
McGill,2012-08-01,0,2012-2013,2012-08
McGill,2012-08-30,1,2012-2013,2012-08
McGill,2012-09-06,1,2012-2013,2012-09
McGill,2012-09-07,0,2012-2013,2012-09
McGill,2012-09-10,1,2012-2013,2012-09
McGill,2012-09-13,0,2012-2013,2012-09
McGill,2012-09-17,1,2012-2013,2012-09
McGill,2012-09-20,1,2012-2013,2012-09
McGill,2012-09-22,0,2012-2013,2012-09
McGill,2012-09-23,1,2012-2013,2012-09
McGill,2012-09-24,0,2012-2013,2012-09
McGill,2012-09-27,1,2012-2013,2012-09
McGill,2012-10-01,1,2012-2013,2012-10
McGill,2012-10-04,0,2012-2013,2012-10
McGill,2012-10-06,1,2012-2013,2012-10
McGill,2012-10-11,1,2012-2013,2012-10
McGill,2012-10-15,1,2012-2013,2012-10
McGill,2012-10-16,1,2012-2013,2012-10
McGill,2012-10-18,1,2012-2013,2012-10
McGill,2012-10-22,1,2012-2013,2012-10
McGill,2012-10-25,1,2012-2013,2012-10
McGill,2012-10-29,1,2012-2013,2012-10
McGill,2012-10-31,0,2012-2013,2012-10
McGill,2012-11-01,0,2012-2013,2012-11
McGill,2012-11-05,1,2012-2013,2012-11
McGill,2012-11-08,1,2012-2013,2012-11
McGill,2012-11-12,1,2012-2013,2012-11
McGill,2012-11-15,1,2012-2013,2012-11
McGill,2012-11-16,1,2012-2013,2012-11
McGill,2012-11-19,0,2012-2013,2012-11
McGill,2012-11-21,0,2012-2013,2012-11
McGill,2012-11-23,1,2012-2013,2012-11
McGill,2012-11-26,1,2012-2013,2012-11
McGill,2012-12-01,1,2012-2013,2012-12
McGill,2012-12-08,0,2012-2013,2012-12
McGill,2012-12-14,1,2012-2013,2012-12
McGill,2012-12-24,0,2012-2013,2012-12
McGill,2013-01-10,1,2012-2013,2013-01
McGill,2013-01-11,1,2012-2013,2013-01
McGill,2013-01-13,1,2012-2013,2013-01
McGill,2013-01-15,1,2012-2013,2013-01
McGill,2013-01-17,1,2012-2013,2013-01
McGill,2013-01-19,1,2012-2013,2013-01
McGill,2013-01-21,0,2012-2013,2013-01
McGill,2013-01-24,1,2012-2013,2013-01
McGill,2013-01-28,1,2012-2013,2013-01
McGill,2013-01-29,1,2012-2013,2013-01
McGill,2013-01-30,1,2012-2013,2013-01
McGill,2013-01-31,1,2012-2013,2013-01
McGill,2013-02-04,1,2012-2013,2013-02
McGill,2013-02-07,1,2012-2013,2013-02
McGill,2013-02-09,0,2012-2013,2013-02
McGill,2013-02-10,0,2012-2013,2013-02
McGill,2013-02-11,1,2012-2013,2013-02
McGill,2013-02-12,1,2012-2013,2013-02
McGill,2013-02-14,1,2012-2013,2013-02
McGill,2013-02-16,1,2012-2013,2013-02
McGill,2013-02-18,1,2012-2013,2013-02
McGill,2013-02-21,1,2012-2013,2013-02
McGill,2013-02-22,0,2012-2013,2013-02
McGill,2013-02-23,0,2012-2013,2013-02
McGill,2013-02-25,1,2012-2013,2013-02
McGill,2013-02-26,1,2012-2013,2013-02
McGill,2013-02-28,1,2012-2013,2013-02
McGill,2013-03-06,0,2012-2013,2013-03
McGill,2013-03-14,1,2012-2013,2013-03
McGill,2013-03-15,0,2012-2013,2013-03
McGill,2013-03-16,0,2012-2013,2013-03
McGill,2013-03-18,0,2012-2013,2013-03
McGill,2013-03-20,0,2012-2013,2013-03
McGill,2013-03-21,1,2012-2013,2013-03
McGill,2013-03-22,0,2012-2013,2013-03
McGill,2013-03-23,0,2012-2013,2013-03
McGill,2013-03-25,0,2012-2013,2013-03
McGill,2013-04-04,1,2012-2013,2013-04
McGill,2013-04-09,0,2012-2013,2013-04
McGill,2013-04-10,1,2012-2013,2013-04
McGill,2013-04-11,1,2012-2013,2013-04
McGill,2013-04-12,1,2012-2013,2013-04
McGill,2013-04-13,1,2012-2013,2013-04
McGill,2013-04-16,1,2012-2013,2013-04
McGill,2013-04-18,1,2012-2013,2013-04
McGill,2013-04-23,1,2012-2013,2013-04
McGill,2013-04-27,0,2012-2013,2013-04
McGill,2013-04-29,1,2012-2013,2013-04
McGill,2013-05-20,0,2012-2013,2013-05
McGill,2013-05-27,1,2012-2013,2013-05
McGill,2013-05-28,1,2012-2013,2013-05
McGill,2013-06-11,1,2012-2013,2013-06
McGill,2013-06-13,0,2012-2013,2013-06
McGill,2013-06-19,0,2012-2013,2013-06
McGill,2013-06-25,1,2012-2013,2013-06
McGill,2013-06-27,1,2012-2013,2013-06
McGill,2013-07-01,0,2012-2013,2013-07
McGill,2013-07-17,1,2012-2013,2013-07
McGill,2013-07-19,0,2012-2013,2013-07
McGill,2013-07-24,1,2012-2013,2013-07
McGill,2013-07-26,0,2012-2013,2013-07
McGill,2013-07-30,0,2012-2013,2013-07
McGill,2013-08-10,0,2013-2014,2013-08
McGill,2013-08-19,0,2013-2014,2013-08
McGill,2013-09-02,1,2013-2014,2013-09
McGill,2013-09-03,1,2013-2014,2013-09
McGill,2013-09-04,0,2013-2014,2013-09
McGill,2013-09-07,0,2013-2014,2013-09
McGill,2013-09-09,0,2013-2014,2013-09
McGill,2013-09-10,0,2013-2014,2013-09
McGill,2013-09-11,0,2013-2014,2013-09
McGill,2013-09-14,0,2013-2014,2013-09
