school,date,count,school_year,month
CMU,2014-02-17,1,2013-2014,2014-02
CMU,2014-02-24,1,2013-2014,2014-02
CMU,2014-03-03,1,2013-2014,2014-03
CMU,2014-03-24,1,2013-2014,2014-03
CMU,2014-03-31,1,2013-2014,2014-03
CMU,2014-04-07,1,2013-2014,2014-04
CMU,2014-04-14,1,2013-2014,2014-04
CMU,2014-04-21,1,2013-2014,2014-04
CMU,2014-04-28,1,2013-2014,2014-04
CMU,2014-08-15,1,2014-2015,2014-08
CMU,2014-08-25,1,2014-2015,2014-08
CMU,2014-09-09,1,2014-2015,2014-09
CMU,2014-09-15,1,2014-2015,2014-09
CMU,2014-09-22,1,2014-2015,2014-09
CMU,2014-09-29,1,2014-2015,2014-09
CMU,2014-10-06,1,2014-2015,2014-10
CMU,2014-10-13,1,2014-2015,2014-10
CMU,2014-10-27,1,2014-2015,2014-10
CMU,2014-11-03,1,2014-2015,2014-11
CMU,2014-11-10,1,2014-2015,2014-11
CMU,2014-11-17,1,2014-2015,2014-11
CMU,2014-11-24,1,2014-2015,2014-11
CMU,2015-01-26,1,2014-2015,2015-01
CMU,2015-02-02,1,2014-2015,2015-02
CMU,2015-02-09,1,2014-2015,2015-02
CMU,2015-02-16,1,2014-2015,2015-02
CMU,2015-02-23,1,2014-2015,2015-02
CMU,2015-03-01,1,2014-2015,2015-03
CMU,2015-03-23,1,2014-2015,2015-03
CMU,2015-03-30,1,2014-2015,2015-03
CMU,2015-04-06,1,2014-2015,2015-04
CMU,2015-04-13,1,2014-2015,2015-04
CMU,2015-04-20,1,2014-2015,2015-04
CMU,2015-04-27,1,2014-2015,2015-04
CMU,2015-08-24,1,2015-2016,2015-08
CMU,2015-08-31,1,2015-2016,2015-08
CMU,2015-09-14,1,2015-2016,2015-09
CMU,2015-09-21,1,2015-2016,2015-09
CMU,2015-09-28,1,2015-2016,2015-09
CMU,2015-10-05,1,2015-2016,2015-10
CMU,2015-10-12,1,2015-2016,2015-10
CMU,2015-10-19,1,2015-2016,2015-10
CMU,2015-11-02,1,2015-2016,2015-11
CMU,2015-11-16,1,2015-2016,2015-11
CMU,2015-11-23,1,2015-2016,2015-11
CMU,2015-12-07,1,2015-2016,2015-12
CMU,2016-01-25,1,2015-2016,2016-01
CMU,2016-02-01,1,2015-2016,2016-02
CMU,2016-02-08,1,2015-2016,2016-02
CMU,2016-02-15,1,2015-2016,2016-02
CMU,2016-02-22,1,2015-2016,2016-02
CMU,2016-02-29,1,2015-2016,2016-02
CMU,2016-03-21,1,2015-2016,2016-03
CMU,2016-03-28,1,2015-2016,2016-03
CMU,2016-04-04,1,2015-2016,2016-04
CMU,2016-04-11,1,2015-2016,2016-04
CMU,2016-04-18,1,2015-2016,2016-04
CMU,2016-04-25,1,2015-2016,2016-04
CMU,2016-08-19,1,2016-2017,2016-08
CMU,2016-08-29,1,2016-2017,2016-08
CMU,2016-09-12,1,2016-2017,2016-09
CMU,2016-09-19,1,2016-2017,2016-09
CMU,2016-09-26,1,2016-2017,2016-09
CMU,2016-10-03,1,2016-2017,2016-10
CMU,2016-10-10,1,2016-2017,2016-10
CMU,2016-10-17,1,2016-2017,2016-10
CMU,2016-11-07,1,2016-2017,2016-11
CMU,2016-11-14,1,2016-2017,2016-11
CMU,2016-11-21,1,2016-2017,2016-11
CMU,2016-12-05,1,2016-2017,2016-12
CMU,2017-01-30,1,2016-2017,2017-01
CMU,2017-02-06,1,2016-2017,2017-02
CMU,2017-02-13,1,2016-2017,2017-02
CMU,2017-02-20,1,2016-2017,2017-02
CMU,2017-02-27,1,2016-2017,2017-02
CMU,2017-03-06,1,2016-2017,2017-03
CMU,2017-03-27,1,2016-2017,2017-03
CMU,2017-04-03,1,2016-2017,2017-04
CMU,2017-04-10,1,2016-2017,2017-04
CMU,2017-04-17,1,2016-2017,2017-04
CMU,2017-04-24,1,2016-2017,2017-04
CMU,2017-05-01,1,2016-2017,2017-05
CMU,2017-09-11,1,2017-2018,2017-09
CMU,2017-09-18,1,2017-2018,2017-09
CMU,2017-09-25,1,2017-2018,2017-09
CMU,2017-10-02,1,2017-2018,2017-10
CMU,2017-10-09,1,2017-2018,2017-10
CMU,2017-10-30,1,2017-2018,2017-10
CMU,2017-11-06,1,2017-2018,2017-11
CMU,2017-11-13,1,2017-2018,2017-11
CMU,2017-11-20,1,2017-2018,2017-11
CMU,2017-12-04,1,2017-2018,2017-12
CMU,2018-01-29,1,2017-2018,2018-01
CMU,2018-02-05,1,2017-2018,2018-02
CMU,2018-02-12,1,2017-2018,2018-02
CMU,2018-02-19,1,2017-2018,2018-02
CMU,2018-02-26,1,2017-2018,2018-02
