school,date,count,school_year,month
UCSD,2010-12-02,0,2010-2011,2010-12
UCSD,2011-01-03,0,2010-2011,2011-01
UCSD,2011-01-06,0,2010-2011,2011-01
UCSD,2011-01-10,0,2010-2011,2011-01
UCSD,2011-01-13,0,2010-2011,2011-01
UCSD,2011-01-18,0,2010-2011,2011-01
UCSD,2011-01-20,0,2010-2011,2011-01
UCSD,2011-01-24,0,2010-2011,2011-01
UCSD,2011-01-27,0,2010-2011,2011-01
UCSD,2011-01-31,0,2010-2011,2011-01
UCSD,2011-02-03,1,2010-2011,2011-02
UCSD,2011-02-07,0,2010-2011,2011-02
UCSD,2011-02-10,0,2010-2011,2011-02
UCSD,2011-02-14,1,2010-2011,2011-02
UCSD,2011-02-17,0,2010-2011,2011-02
UCSD,2011-02-22,0,2010-2011,2011-02
UCSD,2011-02-24,0,2010-2011,2011-02
UCSD,2011-02-28,0,2010-2011,2011-02
UCSD,2011-03-03,0,2010-2011,2011-03
UCSD,2011-03-07,0,2010-2011,2011-03
UCSD,2011-03-10,0,2010-2011,2011-03
UCSD,2011-03-28,0,2010-2011,2011-03
UCSD,2011-03-31,0,2010-2011,2011-03
UCSD,2011-04-04,1,2010-2011,2011-04
UCSD,2011-04-07,1,2010-2011,2011-04
UCSD,2011-04-11,0,2010-2011,2011-04
UCSD,2011-04-14,1,2010-2011,2011-04
UCSD,2011-04-21,1,2010-2011,2011-04
UCSD,2011-04-25,0,2010-2011,2011-04
UCSD,2011-04-28,1,2010-2011,2011-04
UCSD,2011-05-02,1,2010-2011,2011-05
UCSD,2011-05-05,1,2010-2011,2011-05
UCSD,2011-05-09,1,2010-2011,2011-05
UCSD,2011-05-12,1,2010-2011,2011-05
UCSD,2011-05-16,0,2010-2011,2011-05
UCSD,2011-05-19,0,2010-2011,2011-05
UCSD,2011-05-23,1,2010-2011,2011-05
UCSD,2011-05-26,0,2010-2011,2011-05
UCSD,2011-05-31,1,2010-2011,2011-05
UCSD,2011-06-02,0,2010-2011,2011-06
UCSD,2011-09-22,0,2011-2012,2011-09
UCSD,2011-09-26,0,2011-2012,2011-09
UCSD,2011-09-29,1,2011-2012,2011-09
UCSD,2011-10-03,1,2011-2012,2011-10
UCSD,2011-10-06,0,2011-2012,2011-10
UCSD,2011-10-10,0,2011-2012,2011-10
UCSD,2011-10-13,0,2011-2012,2011-10
UCSD,2011-10-17,0,2011-2012,2011-10
UCSD,2011-10-20,0,2011-2012,2011-10
UCSD,2011-10-24,0,2011-2012,2011-10
UCSD,2011-10-27,0,2011-2012,2011-10
UCSD,2011-10-31,0,2011-2012,2011-10
UCSD,2011-11-03,0,2011-2012,2011-11
UCSD,2011-11-07,0,2011-2012,2011-11
UCSD,2011-11-10,0,2011-2012,2011-11
UCSD,2011-11-14,0,2011-2012,2011-11
UCSD,2011-11-17,0,2011-2012,2011-11
UCSD,2011-11-21,0,2011-2012,2011-11
UCSD,2011-11-28,0,2011-2012,2011-11
UCSD,2011-12-01,0,2011-2012,2011-12
UCSD,2012-01-09,0,2011-2012,2012-01
UCSD,2012-01-12,1,2011-2012,2012-01
UCSD,2012-01-17,0,2011-2012,2012-01
UCSD,2012-01-19,0,2011-2012,2012-01
UCSD,2012-01-23,0,2011-2012,2012-01
UCSD,2012-01-26,0,2011-2012,2012-01
UCSD,2012-01-30,0,2011-2012,2012-01
UCSD,2012-02-02,0,2011-2012,2012-02
UCSD,2012-02-06,0,2011-2012,2012-02
UCSD,2012-02-09,0,2011-2012,2012-02
UCSD,2012-02-13,0,2011-2012,2012-02
UCSD,2012-02-16,0,2011-2012,2012-02
UCSD,2012-02-21,0,2011-2012,2012-02
UCSD,2012-02-23,1,2011-2012,2012-02
UCSD,2012-02-27,0,2011-2012,2012-02
UCSD,2012-03-01,1,2011-2012,2012-03
UCSD,2012-03-05,0,2011-2012,2012-03
UCSD,2012-03-08,1,2011-2012,2012-03
UCSD,2012-03-12,0,2011-2012,2012-03
UCSD,2012-03-15,0,2011-2012,2012-03
UCSD,2012-04-02,0,2011-2012,2012-04
UCSD,2012-04-05,1,2011-2012,2012-04
UCSD,2012-04-09,0,2011-2012,2012-04
UCSD,2012-04-12,0,2011-2012,2012-04
UCSD,2012-04-16,0,2011-2012,2012-04
UCSD,2012-04-19,0,2011-2012,2012-04
UCSD,2012-04-23,0,2011-2012,2012-04
UCSD,2012-04-26,1,2011-2012,2012-04
UCSD,2012-04-30,0,2011-2012,2012-04
UCSD,2012-05-03,1,2011-2012,2012-05
UCSD,2012-05-07,1,2011-2012,2012-05
UCSD,2012-05-10,0,2011-2012,2012-05
UCSD,2012-05-14,1,2011-2012,2012-05
UCSD,2012-05-17,1,2011-2012,2012-05
