school,date,count,school_year,month
GW,2011-01-18,0,2010-2011,2011-01
GW,2011-01-20,0,2010-2011,2011-01
GW,2011-01-24,0,2010-2011,2011-01
GW,2011-01-27,0,2010-2011,2011-01
GW,2011-01-31,0,2010-2011,2011-01
GW,2011-02-03,0,2010-2011,2011-02
GW,2011-02-07,0,2010-2011,2011-02
GW,2011-02-10,0,2010-2011,2011-02
GW,2011-02-14,0,2010-2011,2011-02
GW,2011-02-17,0,2010-2011,2011-02
GW,2011-02-22,0,2010-2011,2011-02
GW,2011-02-24,0,2010-2011,2011-02
GW,2011-02-28,0,2010-2011,2011-02
GW,2011-03-03,0,2010-2011,2011-03
GW,2011-03-07,0,2010-2011,2011-03
GW,2011-03-10,0,2010-2011,2011-03
GW,2011-03-24,0,2010-2011,2011-03
GW,2011-03-28,0,2010-2011,2011-03
GW,2011-03-31,0,2010-2011,2011-03
GW,2011-04-04,0,2010-2011,2011-04
GW,2011-04-07,0,2010-2011,2011-04
GW,2011-04-11,0,2010-2011,2011-04
GW,2011-04-14,0,2010-2011,2011-04
GW,2011-04-18,0,2010-2011,2011-04
GW,2011-04-21,0,2010-2011,2011-04
GW,2011-04-25,0,2010-2011,2011-04
GW,2011-05-09,0,2010-2011,2011-05
GW,2011-05-16,0,2010-2011,2011-05
GW,2011-06-13,0,2010-2011,2011-06
GW,2011-08-25,0,2011-2012,2011-08
GW,2011-08-29,0,2011-2012,2011-08
GW,2011-09-01,0,2011-2012,2011-09
GW,2011-09-06,0,2011-2012,2011-09
GW,2011-09-08,0,2011-2012,2011-09
GW,2011-09-12,0,2011-2012,2011-09
GW,2011-09-15,0,2011-2012,2011-09
GW,2011-09-19,0,2011-2012,2011-09
GW,2011-09-22,0,2011-2012,2011-09
GW,2011-09-26,0,2011-2012,2011-09
GW,2011-09-29,0,2011-2012,2011-09
GW,2011-10-03,0,2011-2012,2011-10
GW,2011-10-06,0,2011-2012,2011-10
GW,2011-10-10,0,2011-2012,2011-10
GW,2011-10-13,0,2011-2012,2011-10
GW,2011-10-17,0,2011-2012,2011-10
GW,2011-10-20,0,2011-2012,2011-10
GW,2011-10-24,0,2011-2012,2011-10
GW,2011-10-27,0,2011-2012,2011-10
GW,2011-10-31,0,2011-2012,2011-10
GW,2011-11-03,0,2011-2012,2011-11
GW,2011-11-07,0,2011-2012,2011-11
GW,2011-11-10,0,2011-2012,2011-11
GW,2011-11-14,0,2011-2012,2011-11
GW,2011-11-17,0,2011-2012,2011-11
GW,2011-11-21,0,2011-2012,2011-11
GW,2011-12-01,0,2011-2012,2011-12
GW,2011-12-05,0,2011-2012,2011-12
GW,2011-12-08,0,2011-2012,2011-12
GW,2012-01-17,0,2011-2012,2012-01
GW,2012-01-19,0,2011-2012,2012-01
GW,2012-01-23,0,2011-2012,2012-01
GW,2012-01-26,1,2011-2012,2012-01
GW,2012-01-30,0,2011-2012,2012-01
GW,2012-02-02,0,2011-2012,2012-02
GW,2012-02-06,0,2011-2012,2012-02
GW,2012-02-09,0,2011-2012,2012-02
GW,2012-02-13,1,2011-2012,2012-02
GW,2012-02-16,1,2011-2012,2012-02
GW,2012-02-21,1,2011-2012,2012-02
GW,2012-02-23,0,2011-2012,2012-02
GW,2012-02-27,1,2011-2012,2012-02
GW,2012-03-01,0,2011-2012,2012-03
GW,2012-03-05,0,2011-2012,2012-03
GW,2012-03-08,0,2011-2012,2012-03
GW,2012-03-22,0,2011-2012,2012-03
GW,2012-03-26,0,2011-2012,2012-03
GW,2012-03-29,0,2011-2012,2012-03
GW,2012-04-02,0,2011-2012,2012-04
GW,2012-04-05,0,2011-2012,2012-04
GW,2012-04-09,1,2011-2012,2012-04
GW,2012-04-12,0,2011-2012,2012-04
GW,2012-04-16,0,2011-2012,2012-04
GW,2012-04-19,0,2011-2012,2012-04
GW,2012-04-23,0,2011-2012,2012-04
GW,2012-04-26,0,2011-2012,2012-04
GW,2012-04-30,0,2011-2012,2012-04
GW,2012-05-14,0,2011-2012,2012-05
GW,2012-05-21,0,2011-2012,2012-05
GW,2012-06-12,0,2011-2012,2012-06
GW,2012-08-23,1,2012-2013,2012-08
GW,2012-08-27,0,2012-2013,2012-08
GW,2012-08-30,1,2012-2013,2012-08
GW,2012-09-04,0,2012-2013,2012-09
GW,2012-09-06,0,2012-2013,2012-09
GW,2012-09-10,0,2012-2013,2012-09
GW,2012-09-13,0,2012-2013,2012-09
GW,2012-09-17,1,2012-2013,2012-09
GW,2012-09-20,0,2012-2013,2012-09
GW,2012-09-24,0,2012-2013,2012-09
GW,2012-09-27,0,2012-2013,2012-09
GW,2012-10-01,0,2012-2013,2012-10
GW,2012-10-04,0,2012-2013,2012-10
GW,2012-10-08,0,2012-2013,2012-10
GW,2012-10-11,0,2012-2013,2012-10
GW,2012-10-15,1,2012-2013,2012-10
GW,2012-10-18,0,2012-2013,2012-10
GW,2012-10-22,0,2012-2013,2012-10
GW,2012-10-25,0,2012-2013,2012-10
GW,2012-10-29,0,2012-2013,2012-10
GW,2012-11-01,0,2012-2013,2012-11
GW,2012-11-05,1,2012-2013,2012-11
GW,2012-11-08,0,2012-2013,2012-11
GW,2012-11-12,0,2012-2013,2012-11
GW,2012-11-15,0,2012-2013,2012-11
GW,2012-11-19,0,2012-2013,2012-11
GW,2012-11-29,0,2012-2013,2012-11
GW,2012-12-03,1,2012-2013,2012-12
GW,2012-12-06,0,2012-2013,2012-12
GW,2013-01-14,0,2012-2013,2013-01
GW,2013-01-17,0,2012-2013,2013-01
GW,2013-01-21,1,2012-2013,2013-01
GW,2013-01-24,0,2012-2013,2013-01
GW,2013-01-28,1,2012-2013,2013-01
GW,2013-01-31,0,2012-2013,2013-01
GW,2013-02-04,0,2012-2013,2013-02
GW,2013-02-07,0,2012-2013,2013-02
GW,2013-02-11,1,2012-2013,2013-02
GW,2013-02-14,0,2012-2013,2013-02
GW,2013-02-19,0,2012-2013,2013-02
GW,2013-02-21,0,2012-2013,2013-02
GW,2013-02-25,0,2012-2013,2013-02
GW,2013-02-28,0,2012-2013,2013-02
GW,2013-03-04,0,2012-2013,2013-03
GW,2013-03-07,0,2012-2013,2013-03
GW,2013-03-21,1,2012-2013,2013-03
GW,2013-03-25,1,2012-2013,2013-03
GW,2013-03-28,1,2012-2013,2013-03
GW,2013-04-01,0,2012-2013,2013-04
GW,2013-04-04,0,2012-2013,2013-04
GW,2013-04-08,0,2012-2013,2013-04
GW,2013-04-11,0,2012-2013,2013-04
GW,2013-04-15,0,2012-2013,2013-04
GW,2013-04-18,0,2012-2013,2013-04
GW,2013-04-22,0,2012-2013,2013-04
GW,2013-04-25,0,2012-2013,2013-04
GW,2013-04-29,0,2012-2013,2013-04
GW,2013-05-13,0,2012-2013,2013-05
GW,2013-05-20,0,2012-2013,2013-05
GW,2013-06-11,1,2012-2013,2013-06
GW,2013-08-22,1,2013-2014,2013-08
GW,2013-08-26,0,2013-2014,2013-08
GW,2013-08-29,1,2013-2014,2013-08
GW,2013-09-03,0,2013-2014,2013-09
GW,2013-09-09,1,2013-2014,2013-09
GW,2013-09-16,0,2013-2014,2013-09
GW,2013-09-23,0,2013-2014,2013-09
GW,2013-09-30,1,2013-2014,2013-09
GW,2013-10-04,0,2013-2014,2013-10
GW,2013-10-07,0,2013-2014,2013-10
GW,2013-10-14,0,2013-2014,2013-10
GW,2013-10-21,0,2013-2014,2013-10
GW,2013-10-28,0,2013-2014,2013-10
GW,2013-11-04,0,2013-2014,2013-11
GW,2013-11-11,0,2013-2014,2013-11
GW,2013-11-18,0,2013-2014,2013-11
GW,2013-11-25,0,2013-2014,2013-11
GW,2013-12-05,0,2013-2014,2013-12
GW,2014-01-12,0,2013-2014,2014-01
GW,2014-01-13,0,2013-2014,2014-01
GW,2014-01-21,0,2013-2014,2014-01
GW,2014-01-27,0,2013-2014,2014-01
GW,2014-02-03,0,2013-2014,2014-02
GW,2014-02-06,0,2013-2014,2014-02
GW,2014-02-10,0,2013-2014,2014-02
GW,2014-02-13,0,2013-2014,2014-02
GW,2014-02-18,0,2013-2014,2014-02
GW,2014-02-24,0,2013-2014,2014-02
GW,2014-03-03,0,2013-2014,2014-03
GW,2014-03-20,0,2013-2014,2014-03
GW,2014-03-24,0,2013-2014,2014-03
GW,2014-03-31,0,2013-2014,2014-03
GW,2014-04-01,0,2013-2014,2014-04
GW,2014-04-07,0,2013-2014,2014-04
GW,2014-04-14,0,2013-2014,2014-04
GW,2014-04-21,0,2013-2014,2014-04
GW,2014-04-28,0,2013-2014,2014-04
GW,2014-05-12,0,2013-2014,2014-05
GW,2014-05-19,0,2013-2014,2014-05
GW,2014-06-10,0,2013-2014,2014-06
GW,2014-08-21,0,2014-2015,2014-08
GW,2014-08-25,0,2014-2015,2014-08
GW,2014-09-02,0,2014-2015,2014-09
GW,2014-09-08,0,2014-2015,2014-09
GW,2014-09-11,0,2014-2015,2014-09
GW,2014-09-15,0,2014-2015,2014-09
GW,2014-09-22,0,2014-2015,2014-09
GW,2014-09-25,0,2014-2015,2014-09
GW,2014-09-29,0,2014-2015,2014-09
GW,2014-10-02,0,2014-2015,2014-10
GW,2014-10-06,0,2014-2015,2014-10
GW,2014-10-09,0,2014-2015,2014-10
GW,2014-10-13,0,2014-2015,2014-10
GW,2014-10-16,0,2014-2015,2014-10
GW,2014-10-20,0,2014-2015,2014-10
GW,2014-10-23,0,2014-2015,2014-10
GW,2014-10-27,0,2014-2015,2014-10
GW,2014-10-30,0,2014-2015,2014-10
GW,2014-11-03,0,2014-2015,2014-11
GW,2014-11-06,0,2014-2015,2014-11
GW,2014-11-10,0,2014-2015,2014-11
GW,2014-11-13,0,2014-2015,2014-11
GW,2014-11-17,0,2014-2015,2014-11
GW,2014-11-20,0,2014-2015,2014-11
GW,2014-11-24,0,2014-2015,2014-11
GW,2014-12-04,0,2014-2015,2014-12
GW,2015-01-12,0,2014-2015,2015-01
GW,2015-01-15,0,2014-2015,2015-01
GW,2015-01-20,0,2014-2015,2015-01
GW,2015-01-22,0,2014-2015,2015-01
GW,2015-01-26,0,2014-2015,2015-01
GW,2015-01-29,0,2014-2015,2015-01
GW,2015-02-02,0,2014-2015,2015-02
GW,2015-02-05,0,2014-2015,2015-02
GW,2015-02-09,0,2014-2015,2015-02
GW,2015-02-12,0,2014-2015,2015-02
GW,2015-02-17,0,2014-2015,2015-02
GW,2015-02-23,0,2014-2015,2015-02
GW,2015-02-26,0,2014-2015,2015-02
GW,2015-03-02,0,2014-2015,2015-03
GW,2015-03-05,0,2014-2015,2015-03
GW,2015-03-19,0,2014-2015,2015-03
GW,2015-03-23,0,2014-2015,2015-03
GW,2015-03-27,0,2014-2015,2015-03
GW,2015-03-30,0,2014-2015,2015-03
GW,2015-04-01,0,2014-2015,2015-04
GW,2015-04-06,0,2014-2015,2015-04
GW,2015-04-09,0,2014-2015,2015-04
GW,2015-04-13,0,2014-2015,2015-04
GW,2015-04-16,0,2014-2015,2015-04
GW,2015-04-20,0,2014-2015,2015-04
GW,2015-04-23,0,2014-2015,2015-04
GW,2015-04-27,0,2014-2015,2015-04
GW,2015-05-11,0,2014-2015,2015-05
GW,2015-05-18,0,2014-2015,2015-05
GW,2015-06-09,0,2014-2015,2015-06
GW,2015-08-31,0,2015-2016,2015-08
GW,2015-09-03,0,2015-2016,2015-09
GW,2015-09-08,0,2015-2016,2015-09
