,school,date,count,positive,negative,neutral
0,CMU,2009-01-19,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
1,CMU,2009-01-26,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
2,CMU,2009-02-02,1,0.3304932713508606,0.17113542556762695,0.14422890543937683
3,CMU,2009-02-09,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
4,CMU,2009-02-23,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
5,CMU,2009-03-02,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
6,CMU,2009-03-23,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
7,CMU,2009-03-30,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
8,CMU,2009-04-06,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
9,CMU,2009-04-13,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
10,CMU,2009-04-20,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
11,CMU,2009-04-27,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
12,CMU,2009-08-15,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
13,CMU,2009-08-24,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
14,CMU,2009-08-31,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
15,CMU,2009-09-14,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
16,CMU,2009-09-21,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
17,CMU,2009-09-28,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
18,CMU,2009-10-05,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
19,CMU,2009-10-12,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
20,CMU,2009-10-26,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
21,CMU,2009-11-02,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
22,CMU,2009-11-09,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
23,CMU,2009-11-16,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
24,CMU,2009-11-23,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
25,CMU,2010-01-18,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
26,CMU,2010-02-01,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
27,CMU,2010-02-08,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
28,CMU,2010-02-15,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
29,CMU,2010-02-22,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
30,CMU,2010-03-01,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
31,CMU,2010-03-22,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
32,CMU,2010-03-29,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
33,CMU,2010-04-05,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
34,CMU,2010-04-12,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
35,CMU,2010-04-19,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
36,CMU,2010-04-26,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
37,CMU,2010-08-23,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
38,CMU,2010-08-30,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
39,CMU,2010-09-13,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
40,CMU,2010-09-20,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
41,CMU,2010-09-27,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
42,CMU,2010-10-04,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
43,CMU,2010-10-11,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
44,CMU,2010-10-25,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
45,CMU,2010-11-01,1,0.3304932713508606,0.17113542556762695,0.14422890543937683
46,CMU,2010-11-08,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
47,CMU,2010-11-15,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
48,CMU,2010-11-22,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
49,CMU,2011-01-17,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
50,CMU,2011-01-24,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
51,CMU,2011-01-31,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
52,CMU,2011-02-07,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
53,CMU,2011-02-14,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
54,CMU,2011-02-21,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
55,CMU,2011-02-28,1,0.3304932713508606,0.17113542556762695,0.14422890543937683
56,CMU,2011-03-21,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
57,CMU,2011-03-28,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
58,CMU,2011-04-04,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
59,CMU,2011-04-11,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
60,CMU,2011-04-18,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
61,CMU,2011-04-25,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
62,CMU,2011-08-21,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
63,CMU,2011-08-29,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
64,CMU,2011-09-12,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
65,CMU,2011-09-19,0,0.25322896242141724,0.3631725311279297,0.36474889516830444
