,date,positive,negative,neutral
0,2009-01-19,0.25322896242141724,0.3631725311279297,0.36474889516830444
1,2009-01-26,0.25322896242141724,0.3631725311279297,0.36474889516830444
2,2009-02-02,0.3304932713508606,0.17113542556762695,0.14422890543937683
3,2009-02-09,0.25322896242141724,0.3631725311279297,0.36474889516830444
4,2009-02-23,0.25322896242141724,0.3631725311279297,0.36474889516830444
5,2009-03-02,0.25322896242141724,0.3631725311279297,0.36474889516830444
6,2009-03-23,0.25322896242141724,0.3631725311279297,0.36474889516830444
7,2009-03-30,0.25322896242141724,0.3631725311279297,0.36474889516830444
8,2009-04-06,0.25322896242141724,0.3631725311279297,0.36474889516830444
9,2009-04-13,0.25322896242141724,0.3631725311279297,0.36474889516830444
10,2009-04-20,0.25322896242141724,0.3631725311279297,0.36474889516830444
11,2009-04-27,0.25322896242141724,0.3631725311279297,0.36474889516830444
12,2009-08-15,0.25322896242141724,0.3631725311279297,0.36474889516830444
13,2009-08-24,0.25322896242141724,0.3631725311279297,0.36474889516830444
14,2009-08-31,0.25322896242141724,0.3631725311279297,0.36474889516830444
15,2009-09-14,0.25322896242141724,0.3631725311279297,0.36474889516830444
16,2009-09-21,0.25322896242141724,0.3631725311279297,0.36474889516830444
17,2009-09-28,0.25322896242141724,0.3631725311279297,0.36474889516830444
18,2009-10-05,0.25322896242141724,0.3631725311279297,0.36474889516830444
19,2009-10-12,0.25322896242141724,0.3631725311279297,0.36474889516830444
20,2009-10-26,0.25322896242141724,0.3631725311279297,0.36474889516830444
21,2009-11-02,0.25322896242141724,0.3631725311279297,0.36474889516830444
22,2009-11-09,0.25322896242141724,0.3631725311279297,0.36474889516830444
23,2009-11-16,0.25322896242141724,0.3631725311279297,0.36474889516830444
24,2009-11-23,0.25322896242141724,0.3631725311279297,0.36474889516830444
25,2010-01-18,0.25322896242141724,0.3631725311279297,0.36474889516830444
26,2010-02-01,0.25322896242141724,0.3631725311279297,0.36474889516830444
27,2010-02-08,0.25322896242141724,0.3631725311279297,0.36474889516830444
28,2010-02-15,0.25322896242141724,0.3631725311279297,0.36474889516830444
29,2010-02-22,0.25322896242141724,0.3631725311279297,0.36474889516830444
30,2010-03-01,0.25322896242141724,0.3631725311279297,0.36474889516830444
31,2010-03-22,0.25322896242141724,0.3631725311279297,0.36474889516830444
32,2010-03-29,0.25322896242141724,0.3631725311279297,0.36474889516830444
33,2010-04-05,0.25322896242141724,0.3631725311279297,0.36474889516830444
34,2010-04-12,0.25322896242141724,0.3631725311279297,0.36474889516830444
35,2010-04-19,0.25322896242141724,0.3631725311279297,0.36474889516830444
36,2010-04-26,0.25322896242141724,0.3631725311279297,0.36474889516830444
37,2010-08-23,0.25322896242141724,0.3631725311279297,0.36474889516830444
38,2010-08-30,0.25322896242141724,0.3631725311279297,0.36474889516830444
39,2010-09-13,0.25322896242141724,0.3631725311279297,0.36474889516830444
40,2010-09-20,0.25322896242141724,0.3631725311279297,0.36474889516830444
41,2010-09-27,0.25322896242141724,0.3631725311279297,0.36474889516830444
42,2010-10-04,0.25322896242141724,0.3631725311279297,0.36474889516830444
43,2010-10-11,0.25322896242141724,0.3631725311279297,0.36474889516830444
44,2010-10-25,0.25322896242141724,0.3631725311279297,0.36474889516830444
45,2010-11-01,0.3304932713508606,0.17113542556762695,0.14422890543937683
46,2010-11-08,0.25322896242141724,0.3631725311279297,0.36474889516830444
47,2010-11-15,0.25322896242141724,0.3631725311279297,0.36474889516830444
48,2010-11-22,0.25322896242141724,0.3631725311279297,0.36474889516830444
49,2011-01-17,0.25322896242141724,0.3631725311279297,0.36474889516830444
50,2011-01-24,0.25322896242141724,0.3631725311279297,0.36474889516830444
51,2011-01-31,0.25322896242141724,0.3631725311279297,0.36474889516830444
52,2011-02-07,0.25322896242141724,0.3631725311279297,0.36474889516830444
53,2011-02-14,0.25322896242141724,0.3631725311279297,0.36474889516830444
54,2011-02-21,0.25322896242141724,0.3631725311279297,0.36474889516830444
55,2011-02-28,0.3304932713508606,0.17113542556762695,0.14422890543937683
56,2011-03-21,0.25322896242141724,0.3631725311279297,0.36474889516830444
57,2011-03-28,0.25322896242141724,0.3631725311279297,0.36474889516830444
58,2011-04-04,0.25322896242141724,0.3631725311279297,0.36474889516830444
59,2011-04-11,0.25322896242141724,0.3631725311279297,0.36474889516830444
60,2011-04-18,0.25322896242141724,0.3631725311279297,0.36474889516830444
61,2011-04-25,0.25322896242141724,0.3631725311279297,0.36474889516830444
62,2011-08-21,0.25322896242141724,0.3631725311279297,0.36474889516830444
63,2011-08-29,0.25322896242141724,0.3631725311279297,0.36474889516830444
64,2011-09-12,0.25322896242141724,0.3631725311279297,0.36474889516830444
65,2011-09-19,0.25322896242141724,0.3631725311279297,0.36474889516830444
66,2011-09-26,0.25322896242141724,0.3631725311279297,0.36474889516830444
67,2011-10-03,0.25322896242141724,0.3631725311279297,0.36474889516830444
68,2011-10-10,0.25322896242141724,0.3631725311279297,0.36474889516830444
69,2011-10-17,0.25322896242141724,0.3631725311279297,0.36474889516830444
70,2011-10-24,0.25322896242141724,0.3631725311279297,0.36474889516830444
71,2011-10-31,0.25322896242141724,0.3631725311279297,0.36474889516830444
72,2011-11-07,0.25322896242141724,0.3631725311279297,0.36474889516830444
73,2011-11-14,0.25322896242141724,0.3631725311279297,0.36474889516830444
74,2011-11-21,0.25322896242141724,0.3631725311279297,0.36474889516830444
75,2011-12-05,0.25322896242141724,0.3631725311279297,0.36474889516830444
76,2012-01-23,0.25322896242141724,0.3631725311279297,0.36474889516830444
